Family,Species,Authority,Common Name,Respondents (n),Mobility (mean),Mobility (sd),Wingspan,Range size,Larval host breadth,Conservation status
Pieridae,Euchloe lotta,Beutenmüller,Desert Marble,4,6.50,1.29,39,,3,4
Pieridae,Euchloe naina,Kozhanchikov,Green Marble,3,5.00,2.00,33,,,
Pieridae,Euchloe olympia,(W. H. Edwards),Olympia Marble,14,4.00,1.80,35,1491416,3,4
Lycaenidae,Euphilotes ancilla,(W. Barnes & McDunnough),Rocky Mountain Dotted Blue,3,2.33,0.58,20,,2,5
Lycaenidae,Euphilotes battoides,(Behr),Square-spotted Blue,7,2.86,0.69,21.5,943716,2,5
Nymphalidae,Euphydryas anicia,(E. Doubleday),Anicia Checkerspot,8,4.88,1.36,43,1632248,3,5
Nymphalidae,Euphydryas chalcedona,(E. Doubleday),Variable Checkerspot,2,5.50,0.71,43,1632248,3,5
Nymphalidae,Euphydryas colon colon,(W. H. Edwards),Colon Checkerspot,3,5.33,2.08,,,,4
Nymphalidae,Euphydryas colon paradoxa,McDunnough,Contrary Checkerspot,2,6.50,0.71,,,,4
Nymphalidae,Euphydryas editha,(Boisduval),Edith's Checkerspot,10,4.60,1.07,33,1000350,3,5
Nymphalidae,Euphydryas gillettii,(W. Barnes),Gillette's Checkerspot,5,3.80,2.68,40.5,202710,1,3
Nymphalidae,Euphydryas phaeton,(Drury),Baltimore Checkerspot,24,3.96,1.75,57,1345112,2,4
Hesperiidae,Euphyes bimacula,(Grote & Robinson),Two-spotted Skipper,6,2.00,0.63,27.5,947733,1,4
Hesperiidae,Euphyes conspicua,(W. H. Edwards),Black Dash,7,2.86,1.07,29,452252,1,4
Hesperiidae,Euphyes dion,(W. H. Edwards),Dion Skipper,9,2.89,0.60,32,1313296,2,4
Hesperiidae,Euphyes dukesi,(Lindsey),Duke's Skipper,3,1.00,1.00,34,356634,2,3
Hesperiidae,Euphyes vestris,(Boisduval),Dun Skipper,31,4.97,1.82,25,3279571,2,5
Nymphalidae,Euptoieta claudia,(Cramer),Variegated Fritillary,20,7.70,2.00,52,4192175,3,5
Pieridae,Eurema mexicana,(Boisduval),Mexican Yellow,1,8.00,,38.5,,3,5
Papilionidae,Eurytides marcellus,(Cramer),Zebra Swallowtail,2,8.50,0.71,61,1370780,1,5
Lycaenidae,Feniseca tarquinius,(Fabricius),Harvester,19,3.42,2.24,27.5,1825627,1,4
Lycaenidae,Glaucopsyche lygdamus,(E. Doubleday),Silvery Blue,35,5.37,2.00,23,,3,5
Lycaenidae,Glaucopsyche piasus,(Boisduval),Arrowhead Blue,8,3.88,0.99,28.5,990380,3,5
Hesperiidae,Hesperia assiniboia,(Lyman),Plains Skipper,3,6.67,0.58,25.5,,3,5
Hesperiidae,Hesperia colorado,(Scudder),Western Branded Skipper,4,6.50,1.00,28.5,,3,5
Hesperiidae,Hesperia comma,(Linnaeus),Common Branded Skipper,15,5.13,1.85,26,5529593,3,5
Hesperiidae,Hesperia dacotae,(Skinner),Dakota Skipper,2,3.50,0.71,25,172716,3,2
Hesperiidae,Hesperia juba,(Scudder),Juba Skipper,6,5.83,2.32,30.5,1059529,3,5
Hesperiidae,Hesperia leonardus,T. Harris,Leonard's Skipper,11,4.73,2.20,31,1536579,3,4
Hesperiidae,Hesperia nevada,(Scudder),Nevada Skipper,3,5.00,2.65,26.5,923675,3,5
