CheckListKey,Genus,Species,Subspecies,CombinedLatin,CommonName,Show,NWquadrant,NEquadrant,SWquadrant,SEquadrant,Kind,Revised,Author,Year,Changed,By,Comment,CountTotal,Countys,Endangered,Synonym,Family,GCKey,grp,SortOrder,tmp_SitesReporting,tmp_TotalCount,tmp_HighCountSite,tmp_HighCount,tmp_HighCountDate,tmp_HighCtyAbbr
4318,Callophrys,gryneus,gryneus,Callophrys gryneus gryneus,Olive Hairstreak,TRUE,N,N,,,B,T,Hubner,1819,3/17/2004,"B.K.Coleman, memo-D.Horn",Called Juniper Hairstreak 1996 to 2003. Determined by several Leps that juniper is western; olive is eastern.,127,7,"res., rare, localized","Mitoura grynea g., Olive Hairstreak",43,40,0,460  a,4,14,Germantown MetroPark,4,7/19/2011,Mont
4322  b,Callophrys,augustinus,croesiodes,Callophrys augustinus croesiodes,Brown Elfin,FALSE,N,N,,,B,T,Scudder,1876,,,,0,0,"res., rare, localized",Incisalia augustus c.,43,40,0,464  c,,,,,,
4324,Callophrys,polios,,Callophrys polios,Hoary Elfin,FALSE,,,,,B,F,Cook & Watson,1907,,,,0,0,Species of possible occurrence in Ohio,Incisalia p.,,,,466  a,0,0,,0,,
4325,Callophrys,irus,irus,Callophrys irus irus,Frosted Elfin,TRUE,N,N,N,N,B,T,Godart,1824,,,,24,1,"ENDANGERED, res., rare",Incisalia irus irus,43,40,0,467  a,1,2,Kitty Todd Nature Preserve,2,5/20/2011,Luca
4326,Callophrys,henrici,henrici,Callophrys henrici henrici,Henry's Elfin,TRUE,N,N,,,B,T,Grote & Robinson,1867,,,,89,9,"res., rare to common, southernly",Incisalia h. h.,43,40,0,468  a,5,27,Shawnee Bridle Trail #5 - SE,19,4/14/2011,Cler
4328,Callophrys,niphon,niphon,Callophrys niphon niphon,Eastern Pine Elfin,TRUE,N,N,,,B,T,Hubner,1823,,,,8,5,"res., rare, localized @ low densities",Incisalia n. n.,43,40,0,470  a,0,0,,0,,Hock
4332,Fixsenia,favonius,ontario,Fixsenia favonius ontario,Northern Hairstreak,TRUE,N,N,N,N,B,T,W. H. Edwards,1868,,,considered same as Southern Hairstreak,8,5,"res., rare","Euristrymon o. o., Satyrium f.",43,40,0,474  a,0,0,,0,,Luca
4335,Parrhasius,m-album,,Parrhasius m-album,White M Hairstreak,TRUE,,,,,B,T,Boisduval & LeConte,1833,,,,78,30,"res., rare",,43,40,0,477,5,5,Aullwood Center,1,8/11/2011,Mont
4336  a,Strymon,melinus,humuli,Strymon melinus humuli,Gray Hairstreak,TRUE,,,,,B,T,Harris,1841,,,,1622,74,"res., uncommon to common, southernly",,43,40,0,478  b,28,135,Kitty Todd Nature Preserve,8,8/27/2011,Luca
4349,Erora,laeta,,Erora laeta,Early Hairstreak,FALSE,N,N,N,N,B,T,W. H. Edwards,1862,,,,0,0,"res., rare",,43,40,0,491,,,,,,
4357,Leptotes,marina,,Leptotes marina,Marine Blue,FALSE,N,N,N,N,B,T,Reakirt,1868,,,,0,0,Species of possible occurrence in Ohio,,,,,498,0,0,,0,,
4360  a,Hemiargus,isola,alce,Hemiargus isola alce,Reakirt's Blue,FALSE,,,,,B,T,W. H. Edwards,1871,,,,0,0,"irregular immigrant, rare",,43,40,0,502  a,,,,,,
4361,Everes,comyntas,comyntas,Everes comyntas comyntas,Eastern Tailed Blue,TRUE,,,,,B,T,Godart,1824,,,,34498,113,"res., common",,43,40,0,503  a,65,4360,Highbanks MetroPark,92,9/14/2011,Fran
4363,Celastrina,ladon,ladon,Celastrina ladon ladon,Spring/Summer Azure,TRUE,,,,,B,T,Cramer,1780,9/1/2003,B.K.C-re: Dave Horn,C. neglecta (Summer Azure) entered as C.l l. because of confusion;Changed to Spring/Summer to include both.,45353,116,"res., common",Celastrina argiolus ladon,43,40,0,505  a,64,1646,Dike 14 NP-Cleve.Lakefront NP,31,6/18/2011,Cuyh
4363  a,Celastrina,ladon,lucia,Celastrina ladon lucia,Spring Azure,FALSE,,,,,B,T,W. Kirby,1837,,,"northern subspecies, entered as Spring Azure because of confusion",0,0,"res., common","C. argiolus lucia, C. lucia, Northern Spring Azure",43,40,0,505  b,,,,,,
4363.1,Celastrina,neglecta,,Celastrina neglecta,Summer Azure,FALSE,,,,,B,T,W. H. Edwards,1862,,,entered as Spring Azure because of confusion,0,0,"res., common",C. ladon n.,,,,505  a1,0,0,,0,,
4363.2,Celastrina,neglectamajor,,Celastrina neglectamajor,Appalachian Azure,TRUE,N,N,N,N,B,T,Tutt,1908,,,,8,4,"Res, rare, localized @ low densities",C. neglecta-major,,,,505  a2,1,3,Clear Creek - Creekside,3,5/21/2011,Hock
4364,Celastrina,nigra,,Celastrina nigra,Dusky Azure,TRUE,N,N,,,B,F,Clench,1972,,,,2,1,"res., rare to uncommon, localized",,43,40,0,506,0,0,,0,,Erie
4372,Glaucopsyche,lygdamus,lygdamus,Glaucopsyche lygdamus lygdamus,Silvery Blue,TRUE,N,N,,,B,T,Doubleday,1841,,,,7,3,"res., rare to uncommon, localized",,43,40,0,514  d,0,0,,0,,Hock
4375  d,Lycaeides,melissa,samuelis,Lycaeides melissa samuelis,Karner Blue,TRUE,N,N,N,N,B,F,Nabokov,1944,,,,204,3,"ENDANGERED, res., rare",,43,40,0,517  a,2,23,Moseley Barrens/Kitty Todd,4,7/16/2011,Luca
4387,Calephelis,borealis,,Calephelis borealis,Northern Metalmark,TRUE,N,N,,,B,T,Grote & Rob.,1866,,,,31,5,"res., rare, southernly",,44,40,0,529,1,3,Aullwood Center,3,6/30/2011,Mont
4391,Calephelis,muticum,,Calephelis muticum,Swamp Metalmark,FALSE,N,N,N,N,B,F,McAlpine,1937,,,,0,0,"ENDANGERED, res., rare",,44,40,0,533,,,,,,
4410,Libytheana,carinenta,bachmanii,Libytheana carinenta bachmanii,American Snout Butterfly,TRUE,,,,,B,T,Kirtland,1852,,,,755,58,"regular immigrant or res., uncommon to rare",L. bachmanii b.,45,40,0,552  a,21,59,Slate Run Wetland,3,7/19/2011,Fran
4413  a,Agraulis,vanillae,nigrior,Agraulis vanillae nigrior,Gulf Fritillary,FALSE,N,N,N,N,B,F,Michener,1942,,,,0,0,"stray or irregular immigrant, rare",,46,40,0,555  a,,,,,,
4420,Polygonia,interrogationis,,Polygonia interrogationis,Question Mark,TRUE,,,,,B,T,Fabricius,1798,,,,4492,103,"res., uncommon to common",,46,40,0,636,45,240,Dike 14 NP-Cleve.Lakefront NP,5,5/5/2011,Cuyh
